,new_house_price,Is_samambaia_norte,n_rooms,has_condominium,value_condominium,has_parking,n_parking,house_size,house_hypterlink
0,152000.0,0,1,1,329.0,0,0,38.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-apartamento-padrao-samambaia-sul-samambaia-1104197356
1,408000.0,0,2,1,432.0,1,1,65.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-apartamento-padrao-samambaia-sul-samambaia-1108478295
2,145000.0,1,2,1,10.0,0,0,63.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-2-qts-desocupado-mude-ja-prox-metro-ac-carro-1033323291
3,190000.0,0,2,1,350.0,1,1,55.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-qr-120-apto-2-qtos-varanda-armarios-planejados-na-cozinha-ao-lado-da-est-1034934830
4,290000.0,1,2,0,0.0,1,1,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-qr-402-casa-de-2-quartos-qr-402-imovel-ja-avaliado-pela-caixa-1118349693
5,330000.0,1,2,1,500.0,1,1,60.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-apartamento-2-quartos-sendo-1-suite-1118135646
6,419000.0,0,2,1,585.0,1,2,70.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-padrao-samambaia-sul-1029975205
7,165000.0,1,5,1,0.0,0,0,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-qr-429-931006816
8,220000.0,1,2,1,0.0,1,1,63.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-samambaia-2-quartos-excelente-localizacao-1106338668
9,280000.0,1,2,1,245.0,1,1,57.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-apartamento-padrao-samambaia-norte-samambaia-1104193208
10,310000.0,1,2,1,1.0,1,1,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-402-casa-com-caragem-para-1-carro-sala-de-estar-sala-de-jantar-2-quartos-co-1049611067
11,320000.0,1,3,1,0.0,1,3,130.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-casa-de-3-quartos-a-venda-em-rua-principal-residencial-comercial-1019565270
12,220000.0,1,4,1,0.0,1,2,125.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-sobrado-escriturado-troca-1083860901
13,340000.0,1,2,1,550.0,1,1,58.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-o-melhor-apto-2-qtos-otimo-condominio-moderno-c-armarios-boulevard-das-palmeir-1070335799
14,275000.0,0,2,1,410.0,1,1,44.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-urban-302-apartamento-com-2-quartos-e-vaga-de-garagem-condominio-completo-1116758044
15,160000.0,0,2,1,0.0,1,2,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-qr-513-casa-2-quartos-lote-150m-quintal-grande-muito-bem-localizada-excel-1062608238
16,129900.0,1,3,1,0.0,1,3,128.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-3-qts-1115852335
17,240000.0,1,2,1,260.0,1,1,75.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-apartamento-padrao-samambaia-norte-992112715
18,180000.0,1,1,1,0.0,1,1,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-brasilia-df-programa-verde-e-amarelo-1108564970
19,260000.0,0,3,1,0.0,1,2,112.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-qr-512-03-quartos-na-laje-1038158583
21,50000.0,1,2,0,0.0,1,2,80.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-entre-2023-conquistando-sua-casa-propria-1114179741
22,56900.0,0,2,0,0.0,1,2,110.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-para-morar-ou-investir-desocupada-ac-carro-1114173202
23,330000.0,0,3,1,0.0,1,3,112.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-casa-3-quartos-sendo-1-suite-1112861353
24,250000.0,0,2,1,505.0,1,1,53.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-qr-120-lindo-condominio-com-suite-e-metro-ao-lado-lazer-completo-1108846907
25,350000.0,1,2,1,429.0,1,1,57.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-apartamento-2-quartos-sendo-1-suite-1108789015
26,210000.0,1,3,0,0.0,1,2,60.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-cada-samambaia-qr-604-1082168009
27,125000.0,1,2,1,240.0,0,0,46.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-em-samambaia-1105981773
28,329000.0,1,4,0,0.0,1,3,198.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-qr-606-sobrado-4-quartos-suite-garagem-coberta-aceita-trocas-1051430158
29,120000.0,0,2,1,240.0,0,0,45.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-qn-106-apartamento-02-quartos-1-andar-condominio-fechado-1047704122
30,230000.0,1,2,1,260.0,1,1,65.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-apartamento-2-quartos-1099712681
31,340000.0,0,2,1,503.0,1,1,60.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-quadra-301-apartamento-02-quartos-suite-armarios-lazer-completo-1099522960
32,1670000.0,0,2,1,120.0,1,1,960.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-baixou-samambaia-sul-12-aptos-de-2-4-e-vaga-1053410527
33,69900.0,1,2,1,350.0,1,1,52.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-qr-412-apto-de-2-quatos-edificio-coralina-1097778066
34,230000.0,0,2,1,0.0,1,1,60.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-apartamento-padrao-samambaia-sul-1088166738
35,180000.0,1,2,1,356.0,1,1,45.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-apartamento-padrao-samambaia-norte-samambaia-1084105857
36,350000.0,1,4,1,0.0,1,2,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-casa-padrao-samambaia-norte-samambaia-1070218520
37,550000.0,1,4,1,0.0,1,3,250.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-casa-04-quartos-com-suites-1023522869
38,257000.0,0,2,1,316.0,0,0,52.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-apartamento-02-quartos-1023522196
39,250000.0,1,3,1,0.0,1,2,90.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-casa-03-quartos-1023520828
40,460000.0,0,3,1,0.0,1,3,137.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-sobrado-1023518919
41,500000.0,1,4,1,0.0,0,0,200.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-norte-sobrado-1023517024
42,200000.0,1,3,1,0.0,1,2,126.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-norte-qr-423-934808478
43,550000.0,1,5,0,0.0,1,3,112.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-em-samambaia-norte-sobrado-com-03-pavimentos-area-de-lazer-ac-financiamento-1093527445
44,405000.0,0,3,0,0.0,1,1,90.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/cobertura-em-samambaia-02-03-quartos-lazer-completo-vaga-de-garagem-ac-financiar-fgts-1093815040
45,250000.0,1,5,1,0.0,1,2,10.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-samambaia-brasilia-df-1118727472
46,280000.0,1,3,1,0.0,1,3,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-com-3-quartos-1118581319
47,550000.0,1,4,0,0.0,1,2,250.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-em-samambaia-norte-qr-210-com-4-quartos-sendo-uma-suite-1118578436
